Num,Score
100,0.21038441090518856
110,0.2110349687743843
120,0.2105895153336783
130,0.21093554484377638
140,0.20918547792638162
150,0.21120733613088652
160,0.21104543886163726
170,0.2102017982747917
180,0.21003220459952635
190,0.21032429962164365
200,0.2083012017089273
210,0.2097040846395119
220,0.2086723696253205
230,0.20997340183789598
240,0.20911438067873547
250,0.2095508121953558
260,0.2095464635476546
270,0.21003358444746265
280,0.21148342416579477
290,0.21200053180132608
300,0.21054298048420744
310,0.20859862126403478
320,0.21254667872442184
330,0.20942020969739145
340,0.2101889582223159
350,0.2094211290772936
360,0.20881111482734296
370,0.20991352916045694
380,0.21054212432039887
390,0.2125403497000409
400,0.21071588454643037
410,0.21163787265055
420,0.20934540027492377
430,0.2093528886730944
440,0.21076466683606804
450,0.21156391549907042
460,0.2096893504889373
470,0.21122135345940327
480,0.21110656962316493
490,0.211278831066152
500,0.21202983270595951
510,0.21154485164521059
520,0.21152139037515033
530,0.2114662407717619
540,0.21209998262269533
550,0.21156532221493832
560,0.2125221742727059
570,0.2140005347333726
580,0.21239423626069198
590,0.2121530067120609
600,0.21268665692950964
610,0.21124052095673396
620,0.21266731720666276
630,0.21272243474664357
640,0.21222603711656374
650,0.21224701568259519
660,0.21202546696364952
670,0.21362440917506526
680,0.2132006655107312
690,0.2137956068065528
700,0.21200589650514112
710,0.21350323722836384
720,0.21346873196242844
730,0.21405783309184176
740,0.21215645576877779
750,0.21440393503649885
760,0.21465100397954046
770,0.21362565843781725
780,0.21366671454096528
790,0.2137457458204012
800,0.21364740215992828
810,0.2133213364092822
820,0.21497491406339966
830,0.213521508477121
840,0.21333808043074062
850,0.21457045549668477
860,0.21161691689064535
870,0.2131972079270798
880,0.21314053499964006
890,0.21344962496036396
900,0.21276438097396588
910,0.21340506916947447
920,0.214742887737694
930,0.2151571880973175
940,0.21333104479699783
950,0.21372191099573737
960,0.21444791747565145
970,0.21417769794970307
980,0.21423785436111864
990,0.21388523727543401
